n,Rare trajectory?,Return,Time,Positions
49,False,-6.890122347054699,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 2, 3, 2, 3, 2, 1, 0, 1, 0, -1, -2, -1, -2, -1, -2, -3, -2)"
50,False,-3.4670604091247625,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 0, 1, 2, 3, 2, 3, 2, 3, 2, 1, 2, 1, 0, 1, 2, 1, 0, 1, 2)"
51,True,-3.6188332516395683,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -3, -4, -5, -4, -3, -2, -3, -2, -1, -2, -1, -2, -1, 0, 1, 0)"
52,False,-6.287593488196082,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0, -1, 0, 1, 2, 1, 2, 3, 2)"
53,True,-2.6434464147263443,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 2, 1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 1, 2, 1, 0, -1, 0)"
54,True,-3.048389013200929,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -1, 0, 1, 0, -1, 0, -1, -2, -1, 0, 1, 2, 1, 2, 1, 0)"
55,False,-3.633206880639574,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -3, -2, -3, -2, -1, -2, -3, -2, -1, -2, -1, 0, -1, -2, -1, 0, -1, -2)"
56,True,-4.878344647015711,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, 1, 0, -1, 0, 1, 0, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0)"
57,True,-3.1411720507801744,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, -1, -2, -1, 0, -1, 0, -1, 0)"
58,False,-5.410954127151052,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -3, -2, -1, -2, -1, -2, -1, 0, -1, -2, -1, 0, 1, 2)"
59,True,-3.941918178541207,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -3, -2, -1, 0, -1, 0, -1, 0, 1, 2, 3, 2, 1, 0)"
60,True,-4.238951705453205,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, -1, -2, -1, 0, -1, 0, -1, -2, -1, 0, -1, 0, -1, 0, -1, 0)"
61,False,-6.780045901274567,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, -2, -3, -2, -1, 0, -1, 0, 1, 0, 1, 2, 3, 2, 3, 2)"
62,True,0.6824206525149301,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 4, 5, 6, 5, 4, 3, 4, 3, 2, 3, 2, 3, 2, 1, 2, 1, 0)"
63,True,-2.2828094543430275,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, -2, -1, -2, -3, -4, -5, -4, -3, -2, -1, 0, -1, 0, -1, 0)"
64,False,-3.7335177562788457,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, -2, -1, 0, 1, 0, 1, 0, 1, 2, 1, 0, -1, 0, -1, 0, 1, 2)"
65,False,-6.448361907769719,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 2, 3, 2, 3, 2, 1, 0, -1, 0, 1, 2, 1, 2, 1, 0, -1, -2)"
66,True,-3.2203239761250013,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, 0, -1, -2, -3, -4, -3, -2, -1, -2, -1, -2, -1, 0, -1, 0)"
67,True,-1.6583928584467702,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, -1, 0, -1, 0, -1, 0, -1, 0)"
68,True,-3.973198498234844,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -1, 0, 1, 0, -1, 0, -1, 0, -1, -2, -3, -2, -1, 0)"
69,True,-0.8394933850917359,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 0, -1, 0, -1, 0, -1, -2, -1, 0, -1, 0, -1, -2, -1, 0, -1, 0, -1, 0)"
70,True,-0.31231916353756056,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, -1, -2, -3, -4, -5, -4, -3, -2, -1, 0, -1, -2, -1, 0, 1, 0)"
71,False,-16.77946341325512,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, -2, -1, -2, -1, 0, -1, 0, 1, 2, 3, 2, 3, 4, 3, 4)"
72,True,-4.410759955906755,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, 1, 0, 1, 2, 1, 0, -1, -2, -1, -2, -1, -2, -1, 0, -1, 0)"
73,True,-1.8565251812878716,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, -2, -1, 0, -1, 0, 1, 2, 1, 0, 1, 0, 1, 2, 1, 2, 1, 0)"
74,True,-4.822233873398414,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0, 1, 2, 1, 2, 1, 0, -1, 0)"
75,True,-1.8419075093189583,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, -2, -1, 0, -1, -2, -1, 0, 1, 2, 1, 0, -1, 0, 1, 0)"
76,False,-3.2959974214585217,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, -1, -2, -1, 0, -1, -2, -1, 0, -1, -2, -1, 0, 1, 2, 3, 2)"
77,True,-1.765707483004685,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 4, 3, 2, 3, 2, 1, 2, 3, 2, 1, 2, 1, 2, 1, 0, 1, 0)"
78,True,-2.7662107725367022,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 1, 2, 1, 0, -1, 0, 1, 0)"
79,True,-3.4454649040249032,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -3, -2, -1, 0, 1, 0, -1, -2, -1, -2, -1, 0, -1, 0, 1, 0)"
80,False,-6.086727600423336,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -3, -2, -1, 0, 1, 0, -1, -2, -1, 0, -1, -2, -1, 0, 1, 2)"
81,True,1.4035471430191404,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -3, -2, -1, -2, -3, -4, -3, -4, -3, -4, -3, -2, -1, 0, 1, 0, 1, 0)"
82,True,-0.779658287570556,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, 0, -1, 0, -1, -2, -3, -2, -1, 0, 1, 2, 1, 0, 1, 0)"
